GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
0100000US,,United States,0400000US46,46,United States - South Dakota,South Dakota,754844,323208,77116.49,1231.85,75884.64,9.9,4.3
0100000US,,United States,0400000US47,47,United States - Tennessee,Tennessee,5689283,2439443,42143.27,926.15,41217.12,138.0,59.2
0100000US,,United States,0400000US48,48,United States - Texas,Texas,20851820,8157575,268580.82,6783.70,261797.12,79.6,31.2
0100000US,,United States,0400000US49,49,United States - Utah,Utah,2233169,768594,84898.83,2755.18,82143.65,27.2,9.4
0100000US,,United States,0400000US50,50,United States - Vermont,Vermont,608827,294382,9614.26,364.70,9249.56,65.8,31.8
0100000US,,United States,0400000US51,51,United States - Virginia,Virginia,7078515,2904192,42774.20,3180.13,39594.07,178.8,73.3
0100000US,,United States,0400000US53,53,United States - Washington,Washington,5894121,2451075,71299.64,4755.58,66544.06,88.6,36.8
0100000US,,United States,0400000US54,54,United States - West Virginia,West Virginia,1808344,844623,24229.76,152.03,24077.73,75.1,35.1
0100000US,,United States,0400000US55,55,United States - Wisconsin,Wisconsin,5363675,2321144,65497.82,11187.72,54310.10,98.8,42.7
0100000US,,United States,0400000US56,56,United States - Wyoming,Wyoming,493782,223854,97813.56,713.16,97100.40,5.1,2.3
0100000US,,United States,0400000US72,72,United States - Puerto Rico,Puerto Rico,3808610,1418476,5324.50,1899.94,3424.56,1112.1,414.2
