GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
0100000US,,United States,0100000US,,United States,United States,281421906,115904641,3794083.06,256644.62,3537438.44,79.6,32.8
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,4447100,1963711,52419.02,1675.01,50744.00,87.6,38.7
0100000US,,United States,1600000US0107000,0107000,United States - Alabama - Birmingham city,Birmingham city,242820,111927,151.95,2.04,149.92,1619.7,746.6
0100000US,,United States,1600000US0120104,0120104,United States - Alabama - Decatur city,Decatur city,53929,23950,59.90,6.49,53.41,1009.7,448.4
0100000US,,United States,1600000US0121184,0121184,United States - Alabama - Dothan city,Dothan city,57737,25920,86.82,0.20,86.62,666.6,299.3
0100000US,,United States,1600000US0135896,0135896,United States - Alabama - Hoover city,Hoover city,62742,27150,43.65,0.51,43.13,1454.6,629.4
0100000US,,United States,1600000US0137000,0137000,United States - Alabama - Huntsville city,Huntsville city,158216,73670,174.43,0.38,174.05,909.0,423.3
0100000US,,United States,1600000US0150000,0150000,United States - Alabama - Mobile city,Mobile city,198915,86187,159.43,41.53,117.90,1687.1,731.0
0100000US,,United States,1600000US0151000,0151000,United States - Alabama - Montgomery city,Montgomery city,201568,86787,156.19,0.81,155.38,1297.3,558.5
0100000US,,United States,1600000US0177256,0177256,United States - Alabama - Tuscaloosa city,Tuscaloosa city,77906,34857,66.70,10.46,56.24,1385.2,619.8
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,626932,260978,663267.26,91316.00,571951.26,1.1,0.5
0100000US,,United States,1600000US0203000,0203000,United States - Alaska - Anchorage municipality,Anchorage municipality,260283,100368,1961.09,263.88,1697.21,153.4,59.1
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,5130632,2189189,113998.30,363.73,113634.57,45.2,19.3
0100000US,,United States,1600000US0410670,0410670,United States - Arizona - Casas Adobes CDP,Casas Adobes CDP,54011,23655,22.64,0.01,22.63,2386.7,1045.3
0100000US,,United States,1600000US0411230,0411230,United States - Arizona - Catalina Foothills CDP,Catalina Foothills CDP,53794,26372,44.59,0.12,44.47,1209.5,593.0
0100000US,,United States,1600000US0412000,0412000,United States - Arizona - Chandler city,Chandler city,176581,66592,57.98,0.10,57.89,3050.5,1150.4
0100000US,,United States,1600000US0423620,0423620,United States - Arizona - Flagstaff city,Flagstaff city,52894,21396,63.62,0.04,63.58,831.9,336.5
0100000US,,United States,1600000US0427400,0427400,United States - Arizona - Gilbert town,Gilbert town,109697,37007,43.20,0.24,42.96,2553.7,861.5
0100000US,,United States,1600000US0427820,0427820,United States - Arizona - Glendale city,Glendale city,218812,79667,55.75,0.07,55.68,3929.5,1430.7
0100000US,,United States,1600000US0446000,0446000,United States - Arizona - Mesa city,Mesa city,396375,175701,125.18,0.20,124.99,3171.3,1405.7
0100000US,,United States,1600000US0454050,0454050,United States - Arizona - Peoria city,Peoria city,108364,42573,141.68,3.46,138.22,784.0,308.0
0100000US,,United States,1600000US0455000,0455000,United States - Arizona - Phoenix city,Phoenix city,1321045,495832,475.09,0.23,474.86,2781.9,1044.2
0100000US,,United States,1600000US0465000,0465000,United States - Arizona - Scottsdale city,Scottsdale city,202705,104974,184.43,0.23,184.20,1100.4,569.9
0100000US,,United States,1600000US0473000,0473000,United States - Arizona - Tempe city,Tempe city,158625,67068,40.19,0.13,40.06,3959.4,1674.1
0100000US,,United States,1600000US0477000,0477000,United States - Arizona - Tucson city,Tucson city,486699,209609,195.09,0.42,194.67,2500.1,1076.7
0100000US,,United States,1600000US0485540,0485540,United States - Arizona - Yuma city,Yuma city,77515,34475,106.72,0.07,106.65,726.8,323.3
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,2673400,1173043,53178.62,1110.45,52068.17,51.3,22.5
0100000US,,United States,1600000US0523290,0523290,United States - Arkansas - Fayetteville city,Fayetteville city,58047,25467,44.49,1.07,43.43,1336.6,586.4
0100000US,,United States,1600000US0524550,0524550,United States - Arkansas - Fort Smith city,Fort Smith city,80268,35341,52.94,2.59,50.35,1594.2,701.9
0100000US,,United States,1600000US0535710,0535710,United States - Arkansas - Jonesboro city,Jonesboro city,55515,24263,80.00,0.36,79.64,697.1,304.7
0100000US,,United States,1600000US0541000,0541000,United States - Arkansas - Little Rock city,Little Rock city,183133,84793,116.81,0.61,116.20,1576.0,729.7
