"","census_tract","corr"
"5875","B17004_013",0.561762201204677
"4176","B09002_002",0.55929283709602
"5360","B15002_034",0.558813962548133
"5278","B15001_034",0.558710692764592
"8007","B23007_003",0.557355276337313
"12778","B25091_005",0.554916536094332
"6019","B17010_025",0.553595739275841
"2320","B08015_002",0.552916120072486
"5262","B15001_018",0.548695518867328
"4443","B11003_002",0.548588994580298
"4462","B11004_002",0.548588994580298
"7162","B19131_002",0.548588994580298
"8167","B23022_005",0.545287753083747
"5067","B14002_025",0.542508307987771
"5111","B14003_021",0.542508307987771
"4444","B11003_003",0.538990412083562
"7163","B19131_003",0.538990412083562
"8091","B23009_003",0.538990412083562
"6018","B17010_024",0.536047806881645
"2674","B08126_010",0.534215843245809
"6460","B17022_064",0.533590971926381
"7457","B20003_003",0.53299175902713
"6170","B17015_030",0.532396510408148
"5896","B17005_016",0.531296472622152
"12650","B25074_056",0.530315318324889
"13460","B25122_104",0.530315318324889
"12679","B25075_022",0.527424899873046
"6128","B17014_022",0.525726057616227
"8165","B23022_003",0.524515116899136
"5255","B15001_011",0.523808187023778
"6172","B17015_032",0.523573245704402
"5895","B17005_015",0.523068607830521
"4802","B12006_005",0.522777587002748
"15804","B27003_014",0.521720410146954
"7751","B22007_026",0.521514062686148
"6284","B17017_052",0.52120672898131
"5854","B17003_014",0.519764044833463
"6213","B17016_027",0.519120277396054
"13461","B25122_105",0.518870358116967
"2298","B08013_002",0.517717860356657
"5858","B17003_018",0.516793477512963
"5988","B17009_014",0.516284855119211
"13244","B25118_023",0.515379218651368
"2530","B08119_009",0.514781417047899
"8748","B24090_002",0.514359651785251
"12651","B25074_057",0.514276960820342
"2566","B08119_045",0.513265265015438
"7089","B19101_015",0.512165968545824
"3176","B08201_009",0.511718647562676
"4463","B11004_003",0.511031008143804
"5261","B15001_017",0.510228948805565
"8248","B23026_002",0.510173684571744
"13246","B25118_025",0.509505705889313
"6017","B17010_023",0.509336597722446
"6058","B17012_020",0.509336597722446
"6092","B17013_020",0.509336597722446
"6126","B17014_020",0.509336597722446
"6166","B17015_026",0.509336597722446
"6212","B17016_026",0.509336597722446
"6310","B17018_020",0.509336597722446
"6338","B17019_014",0.509336597722446
"6496","B17023_020",0.509336597722446
"10","B01001_011",0.507712563202402
"4445","B11003_004",0.506094219668829
"1347","B06010_011",0.503354762821164
"1640","B07010_011",0.503354762821164
"6340","B17019_016",0.501827452788115
"5003","B13014_026",0.501379850559634
"13245","B25118_024",0.501207905937367
"12078","B25013_011",0.500527907822564
"1055","B05009_021",0.500364276465408
"8078","B23008_016",0.500364276465408
"4255","B09019_027",0.500265722948021
"785","B05006_085",0.499390074487912
"2223","B08011_009",0.498135139382257
"2880","B08132_009",0.498135139382257
"3275","B08302_009",0.498135139382257
"8013","B23007_009",0.498015803607835
"15747","B27002_013",0.497877175199361
"5919","B17006_017",0.497295290353899
"1056","B05009_022",0.4943757439564
"5254","B15001_010",0.49437151225434
"6461","B17022_065",0.494156601784579
"8704","B24080_003",0.491957688640646
"5295","B15001_051",0.491626193702072
"13721","B25127_050",0.49127187848252
"6498","B17023_022",0.491221842631537
"2618","B08124_002",0.490851932365311
"7334","B19325_024",0.490196767057173
"7799","B23001_024",0.488464038204117
"5874","B17004_012",0.487516501714954
"5894","B17005_014",0.486744106061762
"7502","B20005_025",0.486582044221654
"7432","B20001_022",0.48536939991474
"7335","B19325_025",0.484892158033339
"6314","B17018_024",0.483866991167548
"4219","B09010_010",0.482901068771504
"6281","B17017_049",0.482582686206168
"4529","B11010_002",0.481965262483075
"4801","B12006_004",0.480703049033596
"8000","B23006_024",0.480285269220879
"7749","B22007_024",0.479760691325793
"13692","B25127_021",0.47968480404058
"16325","B99193_002.x",0.479678386712733
"16406","B99193_002.y",0.479678386712733
"5787","B16009_025",0.479636190637488
"4267","B09020_002",0.479615975442144
"5920","B17006_018",0.478680582172197
"2308","B08014_010",0.478607908573024
"8003","B23006_027",0.478208766120286
"7196","B19131_036",0.477887693280802
"8002","B23006_026",0.477189494528613
"12960","B25100_004",0.475634888464684
"1167","B06001_005",0.4755103012753
"5159","B14004_013",0.473928672795374
"2625","B08124_009",0.473736266994482
"1358","B06010_022",0.473700910995689
"5954","B17007_024",0.473511659962558
"4253","B09019_025",0.47308393879008
"6060","B17012_022",0.472745598996042
"1037","B05009_003",0.472660722157242
"8065","B23008_003",0.472660722157242
"4180","B09002_006",0.471925434170472
"15759","B27002_025",0.471729006368934
"6459","B17022_063",0.471080247882566
"4252","B09019_024",0.470981336923035
"1058","B05009_024",0.470944105069276
"6394","B17021_032",0.470368805493435
"5830","B16010_042",0.469936125101957
"1467","B07001_054",0.469186750733324
"8095","B23009_007",0.468972500258179
"4618","B12002_007",0.467866167364419
"7501","B20005_024",0.466038226124644
"1089","B05010_019",0.46581014052138
"6283","B17017_051",0.465634734974908
"1612","B07009_018",0.465278507927517
"1651","B07010_022",0.464790408802084
"5303","B15001_059",0.464681853433063
"8094","B23009_006",0.463463694263888
"6393","B17021_031",0.462570491575624
"8067","B23008_005",0.461136060817511
"6395","B17021_033",0.460944690955416
"4223","B09018_002",0.460606194766408
"16121","B28006_014",0.460341539477373
"5384","B15003_024",0.459886586079534
"16122","B28006_015",0.459396120743779
"8010","B23007_006",0.458386318653813
"1091","B05010_021",0.457819404489455
"5118","B14003_028",0.457076092965145
"1518","B07003_005",0.456240003297485
"2539","B08119_018",0.455760063006198
"2987","B08134_013",0.455231638470925
"1038","B05009_004",0.45495937885989
"976","B05008_010",0.454219224859767
"15970","B27019_018",0.454015276442173
"7800","B23001_025",0.452138927904486
"15971","B27019_019",0.451530800729918
"3232","B08203_015",0.450115464361291
"764","B05006_064",0.449558860078528
"714","B05006_014",0.449558860078528
"219","B02018_019",0.449558860078528
"12838","B25094_013",0.449204108304324
"12932","B25096_018",0.448498220852559
"8011","B23007_007",0.447541075252767
"13087","B25106_043",0.447538994215908
"13007","B25101_039",0.446939334300443
"8705","B24080_004",0.446499692017801
"15972","B27019_020",0.445638274766289
"8001","B23006_025",0.443863184645116
"5987","B17009_013",0.443440137097874
"653","B05003_009",0.442857489312136
"3199","B08202_003",0.441588812828577
"3230","B08203_013",0.441588812828577
"7802","B23001_027",0.441404449119628
"8307","B23027_013",0.441329441926274
"16045","B28001_007",0.440546745942663
"1230","B06003_005",0.438439893818689
"6214","B17016_028",0.4378431394152
"6564","B17024_054",0.437748258047448
"16124","B28006_017",0.437668013065484
"7175","B19131_015",0.437251579778456
"1319","B06009_012",0.436643818462222
"13757","B25127_086",0.436487063012627
